apiname,difficulty,herotype,alttype,resource,rangetype,damage,toughness,control,mobility,utility,style,adaptivetype,hp_base,hp_lvl,mp_base,mp_lvl,arm_base,arm_lvl,mr_base,mr_lvl,hp5_base,hp5_lvl,mp5_base,mp5_lvl,dam_base,dam_lvl,as_base,as_lvl,range,ms,selection_height,selection_radius,pathing_radius,as_ratio,Jungle,Middle,Top,Support,Bottom,Skirmisher,Diver,Enchanter,Battlemage,Marksman,Assassin,Catcher,Vanguard,Juggernaut,Artillery,Burst,Specialist,Warden
Mordekaiser,2,Fighter,Mage,Shield,Melee,3,2,1,1,2,80,Magic,645,104.0,0,0.0,37.0,4.2,32.0,2.05,5.0,0.75,0.0,0.0,61,4.0,0.625,1.0,175,335,190.0,125.0,35.0,0.625,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Morgana,1,Mage,Support,Mana,Ranged,2,1,3,1,2,100,Magic,630,104.0,340,60.0,25.0,5.0,30.0,1.3,5.5,0.4,11.0,0.4,56,3.5,0.625,1.53,450,335,145.0,120.0,35.0,0.625,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Naafiri,1,Assassin,Fighter,Mana,Melee,3,1,1,3,1,70,Physical,635,120.0,400,55.0,30.0,4.7,32.0,2.05,9.0,0.9,7.5,1.0,55,2.1,0.663,2.1,125,340,191.6667022705078,120.0,35.0,0.625,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Nami,2,Support,Mage,Mana,Ranged,1,1,3,1,2,90,Magic,560,88.0,365,43.0,29.0,5.2,30.0,1.3,5.5,0.55,11.5,0.4,54,3.1,0.644,2.61,550,335,180.0,125.0,35.0,0.643999993801116,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Nasus,1,Fighter,Tank,Mana,Melee,2,3,2,1,1,20,Physical,631,104.0,326,62.0,34.0,4.7,32.0,2.05,9.0,0.9,7.45,0.5,67,4.0,0.638,3.48,125,350,170.0,135.0,50.0,0.638000011444091,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Nautilus,2,Tank,Support,Mana,Melee,1,3,3,1,1,80,Magic,646,100.0,400,47.0,39.0,4.95,32.0,2.05,8.5,0.55,8.65,0.5,61,3.3,0.706,1.0,175,325,180.0,125.0,50.0,0.611999988555908,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Neeko,1,Mage,Support,Mana,Ranged,3,1,3,1,1,80,Magic,610,104.0,450,30.0,21.0,5.2,30.0,1.3,7.5,0.75,7.0,0.7,48,2.5,0.625,3.5,550,340,300.0,120.0,35.0,0.67,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Nidalee,2,Assassin,Mage,Mana,Ranged,3,1,1,3,2,75,Magic,610,109.0,295,45.0,32.0,5.0,30.0,1.45,6.0,0.6,6.0,0.8,58,3.5,0.638,3.22,525,335,120.0,110.0,35.0,0.638000011444091,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Nilah,3,Fighter,Assassin,Mana,Melee,3,1,1,3,2,25,Physical,570,101.0,350,35.0,27.0,4.5,32.0,2.05,6.0,0.9,8.2,0.7,58,2.0,0.697,3.0,225,340,180.0,120.0,32.0,0.67,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Nocturne,1,Fighter,Assassin,Mana,Melee,3,1,2,2,2,30,Physical,655,109.0,275,35.0,38.0,4.7,32.0,1.55,7.0,0.75,7.0,0.45,62,2.6,0.721,2.7,125,345,155.0,120.0,35.0,0.721,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Nunu,1,Tank,Mage,Mana,Melee,1,3,2,1,2,80,Magic,610,90.0,280,42.0,29.0,4.2,32.0,2.05,5.0,0.8,7.0,0.5,61,3.0,0.625,2.25,125,345,170.0,140.0,35.0,0.625,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Olaf,1,Fighter,Tank,Mana,Melee,2,2,2,1,1,30,Physical,645,119.0,316,50.0,35.0,4.2,32.0,2.05,6.5,0.6,7.5,0.6,68,4.7,0.694,2.7,125,350,191.6667022705078,111.111099243164,35.0,0.694000005722045,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Orianna,2,Mage,Support,Mana,Ranged,2,1,2,1,2,90,Magic,585,110.0,418,25.0,20.0,4.2,26.0,1.3,7.0,0.55,8.0,0.8,44,2.6,0.658,3.5,525,325,140.0,120.0,35.0,0.657999992370605,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Ornn,2,Tank,Fighter,Mana,Melee,1,3,3,1,2,60,Physical,660,109.0,341,65.0,33.0,5.2,32.0,2.05,9.0,0.9,8.0,0.6,69,3.5,0.625,2.0,175,335,155.0,125.0,25.7665996551513,0.625,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Pantheon,1,Fighter,Assassin,Mana,Melee,3,2,2,2,1,75,Physical,650,109.0,317,31.0,40.0,4.95,28.0,2.05,6.0,0.65,7.35,0.45,64,3.3,0.658,2.95,175,345,175.0,125.0,35.0,0.658,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Poppy,2,Tank,Fighter,Mana,Melee,2,3,3,2,1,75,Physical,610,104.0,280,40.0,35.0,5.0,32.0,2.05,8.0,0.8,7.0,0.7,60,4.0,0.658,2.5,125,345,115.0,100.0,35.0,0.625,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Pyke,2,Support,Assassin,Mana,Melee,2,1,3,3,1,50,Physical,670,110.0,415,50.0,43.0,4.7,32.0,2.05,7.0,0.5,8.0,1.0,62,2.0,0.667,2.5,150,330,155.0,120.0,35.0,0.666999995708465,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
Qiyana,3,Assassin,Fighter,Mana,Melee,3,1,2,2,1,70,Physical,590,124.0,375,60.0,31.0,4.7,32.0,2.05,8.0,0.9,8.0,0.7,66,3.1,0.688,2.1,150,335,155.0,120.0,35.0,0.625,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Quinn,2,Marksman,Assassin,Mana,Ranged,3,1,2,3,1,20,Physical,565,107.0,269,35.0,28.0,4.7,30.0,1.3,5.5,0.55,7.0,0.4,59,2.7,0.668,3.1,525,330,155.0,120.0,35.0,0.667999982833862,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Rakan,2,Support,,Mana,Melee,1,2,3,3,3,90,Magic,610,99.0,315,50.0,30.0,4.9,32.0,2.05,5.0,0.5,8.75,0.5,62,3.5,0.635,3.0,300,335,200.0,125.0,35.0,0.634999990463256,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Rammus,1,Tank,Fighter,Mana,Melee,2,3,3,2,1,65,Physical,675,94.0,310,33.0,40.0,5.5,32.0,2.05,8.0,0.55,7.85,0.5,55,2.75,0.656,2.215,125,335,130.0,120.0,35.0,0.625,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
RekSai,2,Fighter,Tank,Rage,Melee,2,2,2,2,2,30,Physical,600,99.0,100,0.0,36.0,4.95,32.0,2.05,2.5,0.5,0.0,0.0,58,3.0,0.667,2.0,175,340,122.0,100.0,30.0,0.666999995708465,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Rell,2,Tank,Support,Mana,Melee,1,3,3,2,2,85,Magic,620,104.0,320,40.0,30.0,4.0,28.0,1.8,7.5,0.85,7.0,0.7,55,3.0,0.625,2.0,175,315,150.0,120.0,35.0,0.625,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Renata,2,Support,Mage,Mana,Ranged,2,1,3,1,2,80,Magic,545,94.0,350,50.0,27.0,4.7,30.0,1.3,5.5,0.55,11.5,0.5,49,3.0,0.625,2.11,550,330,148.88890075683594,100.0,35.0,0.625,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Renekton,1,Fighter,Tank,Fury,Melee,2,2,2,2,1,45,Physical,660,111.0,100,0.0,35.0,5.2,28.0,2.05,8.0,0.75,0.0,0.0,69,4.15,0.665,2.75,125,345,155.0,125.0,50.0,0.665000021457672,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Rengar,2,Assassin,Fighter,Ferocity,Melee,3,1,2,2,1,30,Physical,590,104.0,4,0.0,34.0,4.2,32.0,2.05,6.0,0.5,0.0,0.0,68,3.0,0.667,3.0,125,345,225.0,120.0,35.0,0.666999995708465,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Riven,2,Fighter,Assassin,,Melee,3,2,2,3,1,75,Physical,630,100.0,0,0.0,33.0,4.4,32.0,2.05,8.5,0.5,0.0,0.0,64,3.0,0.625,3.5,125,340,150.0,130.0,35.0,0.625,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Rumble,2,Fighter,Mage,Heat,Melee,3,2,2,1,1,90,Magic,655,105.0,150,0.0,36.0,4.7,28.0,1.55,7.0,0.6,0.0,0.0,64,3.2,0.644,1.85,125,345,170.0,140.0,35.0,0.643999993801116,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Ryze,2,Mage,Fighter,Mana,Ranged,3,1,2,2,2,100,Magic,645,124.0,300,70.0,22.0,4.2,32.0,1.3,8.0,0.8,8.0,1.0,58,3.0,0.658,2.11,550,340,150.0,120.0,35.0,0.625,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Samira,2,Marksman,Assassin,Mana,Ranged,3,2,1,3,1,0,Physical,630,108.0,349,38.0,26.0,4.7,30.0,1.3,3.25,0.55,8.2,0.7,57,3.0,0.658,3.3,500,335,122.22219848632812,100.0,40.68,0.658,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Sejuani,2,Tank,Fighter,Mana,Melee,2,2,3,2,1,75,Magic,630,114.0,400,40.0,34.0,5.45,32.0,2.05,8.5,1.0,7.0,0.7,66,4.0,0.688,3.5,150,340,140.0,140.0,50.0,0.625,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Senna,2,Support,Marksman,Mana,Ranged,2,1,2,1,3,30,Physical,530,89.0,350,45.0,25.0,4.0,30.0,1.3,3.5,0.55,11.5,0.7,50,0.0,0.625,2.0,600,330,170.0,115.0,35.0,0.4,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False
Seraphine,1,Support,Mage,Mana,Ranged,3,1,3,1,2,100,Magic,570,90.0,360,25.0,26.0,4.2,30.0,1.3,6.5,0.6,11.5,0.95,50,3.0,0.669,2.0,525,330,100.0,120.0,35.0,0.625,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
Sett,2,Fighter,Tank,Grit,Melee,2,2,2,2,1,40,Physical,670,114.0,0,0.0,33.0,5.2,28.0,2.05,7.0,0.5,0.0,0.0,60,4.0,0.625,1.75,125,340,100.0,100.0,35.0,0.625,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Shaco,2,Assassin,,Mana,Melee,3,1,2,2,2,45,Physical,630,99.0,297,40.0,30.0,4.0,32.0,2.05,8.5,0.55,6.0,0.35,63,3.0,0.694,3.0,125,345,180.0,135.0,35.0,0.694000005722045,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Shen,2,Tank,,Energy,Melee,2,3,2,2,3,45,Physical,610,99.0,400,0.0,34.0,4.2,32.0,2.05,8.5,0.75,50.0,0.0,64,3.0,0.751,3.0,125,340,175.0,100.0,35.0,0.651000022888183,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Shyvana,1,Fighter,Mage,Fury,Melee,2,2,1,2,1,55,Physical,665,104.0,100,0.0,38.0,4.55,32.0,1.5,8.5,0.8,0.0,0.0,66,3.0,0.658,2.5,125,350,100.0,100.0,35.0,0.657999992370605,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Singed,2,Tank,Mage,Mana,Melee,2,3,2,2,1,100,Magic,650,99.0,330,45.0,34.0,4.2,32.0,2.05,9.5,0.55,7.5,0.55,63,3.4,0.625,1.9,125,345,175.0,135.0,35.0,0.625,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Sion,1,Tank,Fighter,Mana,Melee,2,3,3,1,1,65,Physical,655,87.0,400,52.0,32.0,4.2,32.0,2.05,7.5,0.8,8.0,0.6,68,4.0,0.679,1.3,175,345,155.0,125.0,25.7665996551513,0.67900002002716,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Sivir,2,Marksman,,Mana,Ranged,3,1,1,1,2,10,Physical,600,104.0,340,45.0,30.0,4.45,30.0,1.3,3.25,0.55,6.0,0.8,60,2.5,0.625,2.0,500,335,160.0,115.0,35.0,0.625,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Skarner,2,Tank,Fighter,Mana,Melee,2,3,3,2,1,45,Physical,630,110.0,320,40.0,33.0,4.5,32.0,2.05,7.5,0.75,7.2,0.75,63,3.0,0.625,2.0,150,335,150.0,130.0,50.0,0.625,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Smolder,2,Marksman,Mage,Mana,Ranged,3,1,1,1,1,10,Physical,575,100.0,300,40.0,26.0,4.7,30.0,1.3,4.5,0.6,8.5,0.7,60,2.3,0.638,4.0,550,330,150.0,130.0,30.0,0.638,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Sona,1,Support,Mage,Mana,Ranged,2,1,2,1,2,90,Magic,550,91.0,340,45.0,26.0,4.2,30.0,1.3,5.5,0.55,11.5,0.4,49,3.0,0.644,2.3,550,325,145.0,110.0,35.0,0.643999993801116,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Soraka,1,Support,Mage,Mana,Ranged,1,1,2,1,3,100,Magic,605,88.0,425,40.0,32.0,5.0,30.0,1.3,2.5,0.5,11.5,0.4,50,3.0,0.625,2.14,550,325,145.0,110.0,44.2000007629394,0.625,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Swain,2,Mage,Support,Mana,Ranged,2,2,2,1,1,100,Magic,595,99.0,400,29.0,25.0,4.7,31.0,1.55,3.0,0.5,10.0,0.8,58,2.7,0.625,2.11,525,330,148.88890075683594,100.0,35.0,0.625,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Sylas,3,Mage,Assassin,Mana,Melee,2,2,1,3,1,70,Magic,600,122.0,400,70.0,29.0,5.2,32.0,2.55,9.0,0.9,8.0,0.8,61,3.0,0.645,3.5,175,340,135.0,100.0,35.0,0.644999980926513,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Syndra,2,Mage,,Mana,Ranged,3,1,2,1,1,100,Magic,563,104.0,480,40.0,25.0,4.6,30.0,1.3,6.5,0.6,8.0,0.8,54,2.9,0.658,2.0,550,330,200.0,125.0,35.0,0.625,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
TahmKench,1,Tank,Support,Mana,Melee,2,3,2,1,3,65,Magic,640,103.0,325,50.0,39.0,4.7,32.0,2.05,6.5,0.55,8.0,1.0,56,3.2,0.658,2.5,175,335,190.0,125.0,50.0,0.657999992370605,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Taliyah,2,Mage,Support,Mana,Ranged,3,1,2,1,3,100,Magic,550,104.0,470,30.0,18.0,4.7,30.0,1.3,6.5,0.65,8.0,0.8,58,3.3,0.658,1.36,525,330,145.0,120.0,35.0,0.625,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Talon,2,Assassin,,Mana,Melee,3,1,1,2,1,65,Physical,658,109.0,400,37.0,30.0,4.7,36.0,2.05,8.5,0.75,7.6,0.8,68,3.1,0.625,2.9,125,335,155.0,120.0,35.0,0.625,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Taric,2,Support,Tank,Mana,Melee,1,2,2,1,3,75,Physical,645,99.0,300,60.0,40.0,4.3,28.0,2.05,6.0,0.5,8.5,0.8,55,3.5,0.625,2.0,150,340,165.0,135.0,35.0,0.625,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Teemo,1,Marksman,Mage,Mana,Ranged,3,1,2,1,2,30,Magic,615,104.0,334,25.0,24.0,4.95,30.0,1.3,5.5,0.65,9.6,0.45,54,3.0,0.69,3.38,500,330,100.0,100.0,30.0,0.689999997615814,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Thresh,3,Support,Tank,Mana,Ranged,1,2,3,1,3,75,Physical,620,120.0,274,44.0,33.0,0.0,30.0,1.55,7.0,0.55,6.0,0.8,56,2.2,0.625,3.5,450,330,150.0,125.0,36.0,0.625,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Tristana,1,Marksman,Assassin,Mana,Ranged,3,1,2,2,1,20,Physical,640,102.0,300,32.0,30.0,4.0,28.0,1.3,4.0,0.5,7.2,0.45,60,2.5,0.656,1.5,550,325,110.0,100.0,30.0,0.694,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Trundle,1,Fighter,Tank,Mana,Melee,2,3,1,1,2,20,Physical,650,110.0,340,45.0,37.0,3.9,32.0,2.05,6.0,0.75,7.5,0.6,68,4.0,0.67,2.9,175,350,130.0,135.0,25.7665996551513,0.6700000166893,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Tryndamere,1,Fighter,Assassin,Fury,Melee,3,2,1,2,1,10,Physical,696,108.0,100,0.0,33.0,4.8,32.0,2.05,8.5,0.9,0.0,0.0,66,4.0,0.67,3.4,175,345,180.0,135.0,35.0,0.694,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
TwistedFate,2,Mage,Marksman,Mana,Ranged,3,1,2,2,2,65,Magic,604,108.0,333,39.0,21.0,4.35,30.0,1.3,5.5,0.6,8.0,0.8,52,2.5,0.625,2.5,525,330,140.0,110.0,35.0,0.651000022888183,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Twitch,2,Marksman,Assassin,Mana,Ranged,3,1,1,2,1,0,Physical,630,104.0,300,40.0,27.0,4.2,30.0,1.3,3.75,0.6,7.25,0.7,59,3.1,0.679,3.38,550,330,120.0,135.0,35.0,0.67900002002716,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Udyr,1,Fighter,Tank,Mana,Melee,2,3,2,2,1,35,Physical,664,92.0,271,50.0,31.0,4.7,32.0,2.05,6.0,0.75,7.5,0.45,62,4.0,0.65,3.0,125,350,180.0,125.0,35.0,0.6499999761581421,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Urgot,2,Fighter,Tank,Mana,Ranged,2,2,2,1,1,55,Physical,655,102.0,340,45.0,36.0,5.0,32.0,2.05,7.5,0.7,7.25,0.8,63,4.0,0.625,3.75,350,330,155.55560302734375,136.111099243164,50.0,0.625,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Varus,2,Marksman,Mage,Mana,Ranged,3,1,2,1,1,20,Physical,600,105.0,320,40.0,27.0,4.6,30.0,1.3,3.5,0.55,8.0,0.8,59,3.4,0.658,3.5,575,330,155.0,120.0,35.0,0.657999992370605,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
Vayne,2,Marksman,Assassin,Mana,Ranged,3,1,2,2,1,0,Physical,550,103.0,232,35.0,23.0,4.6,30.0,1.3,3.5,0.55,7.0,0.4,60,2.35,0.658,3.3,550,330,155.0,120.0,35.0,0.657999992370605,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Veigar,2,Mage,,Mana,Ranged,3,1,3,1,1,100,Magic,580,108.0,490,26.0,18.0,5.2,32.0,1.3,6.5,0.6,8.0,0.8,52,2.7,0.625,2.24,550,340,140.0,100.0,30.0,0.625,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Velkoz,2,Mage,Support,Mana,Ranged,3,1,2,1,1,100,Magic,590,102.0,469,21.0,22.0,4.7,30.0,1.3,5.5,0.55,8.0,0.8,55,3.1416,0.643,1.59,525,340,302.7778015136719,120.0,35.0,0.625,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Vex,2,Mage,,Mana,Ranged,3,2,2,2,1,90,Magic,590,104.0,490,32.0,23.0,4.45,28.0,1.3,6.5,0.6,6.0,0.8,54,2.75,0.669,1.0,550,335,100.0,100.0,30.0,0.625,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Vi,1,Fighter,Assassin,Mana,Melee,2,2,3,2,1,55,Physical,655,99.0,295,65.0,30.0,4.7,32.0,2.05,10.0,1.0,8.0,0.65,63,3.0,0.644,2.0,125,340,100.0,100.0,35.0,0.643999993801116,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Viego,3,Fighter,Assassin,,Melee,3,1,2,2,1,20,Physical,630,109.0,0,0.0,34.0,4.6,32.0,2.05,7.0,0.7,0.0,0.0,57,3.5,0.658,2.5,200,345,100.0,125.0,35.0,0.658,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Viktor,3,Mage,,Mana,Ranged,3,1,2,1,1,90,Magic,600,100.0,405,45.0,23.0,4.4,30.0,1.3,8.0,0.65,8.0,0.8,53,3.0,0.658,2.11,525,335,140.0,120.0,35.0,0.657999992370605,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Vladimir,2,Mage,Fighter,Crimson Rush,Ranged,3,2,1,1,1,100,Magic,607,110.0,2,0.0,27.0,4.5,30.0,1.3,7.0,0.6,0.0,0.0,55,3.0,0.658,2.0,450,330,183.3300018310547,120.0,35.0,0.657999992370605,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Volibear,1,Fighter,Tank,Mana,Melee,2,3,2,2,1,30,Physical,650,104.0,350,70.0,31.0,5.2,32.0,2.05,9.0,0.75,6.25,0.5,60,3.5,0.625,2.0,150,340,180.0,125.0,50.0,0.7,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Warwick,1,Fighter,Tank,Mana,Melee,2,2,2,1,1,30,Physical,620,99.0,280,35.0,33.0,4.4,32.0,2.05,4.0,0.75,7.45,0.6,60,2.75,0.638,2.3,125,335,191.6667022705078,120.0,35.0,0.638000011444091,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
MonkeyKing,1,Fighter,Tank,Mana,Melee,2,2,2,2,1,55,Physical,610,99.0,330,65.0,31.0,4.7,28.0,2.05,3.5,0.65,8.0,0.8,66,3.5,0.69,3.0,175,340,122.22219848632812,100.0,35.0,0.657999992370605,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Xayah,2,Marksman,,Mana,Ranged,3,2,3,1,1,30,Physical,630,107.0,340,40.0,25.0,4.2,30.0,1.3,3.25,0.75,8.25,0.8,60,3.5,0.658,3.9,525,330,155.0,120.0,35.0,0.658,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Xerath,2,Mage,Support,Mana,Ranged,3,1,2,1,1,90,Magic,596,106.0,400,22.0,22.0,4.7,30.0,1.3,5.5,0.55,6.85,0.8,55,3.0,0.658,1.36,525,340,302.7778015136719,120.0,35.0,0.625,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
XinZhao,1,Fighter,Tank,Mana,Melee,2,2,2,2,1,35,Physical,640,106.0,274,55.0,35.0,5.0,32.0,2.05,8.0,0.7,7.25,0.45,63,3.0,0.645,3.5,175,345,138.88890075683594,108.333297729492,35.0,0.644999980926513,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Yasuo,3,Fighter,Assassin,Flow,Melee,3,1,2,3,2,20,Physical,590,110.0,100,0.0,32.0,4.6,32.0,2.05,6.5,0.9,0.0,0.0,60,3.0,0.697,3.5,175,345,180.0,120.0,32.0,0.6700000166893,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Yone,3,Fighter,Assassin,Flow,Melee,3,1,2,3,1,45,Physical,620,105.0,500,0.0,33.0,4.6,32.0,2.05,7.5,0.75,0.0,0.0,60,2.0,0.625,3.5,175,345,180.0,120.0,32.0,0.625,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Yorick,2,Fighter,Tank,Mana,Melee,2,2,2,1,2,55,Physical,650,114.0,300,60.0,39.0,5.2,32.0,2.05,8.0,0.8,7.5,0.75,62,5.0,0.625,2.0,175,340,190.0,125.0,50.0,0.625,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Yuumi,1,Support,Mage,Mana,Ranged,1,1,1,3,3,100,Magic,500,69.0,440,45.0,25.0,4.2,25.0,1.1,5.0,0.55,10.0,0.4,49,3.1,0.625,1.0,425,330,145.0,100.0,30.0,0.625,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Zac,1,Tank,Fighter,Health,Melee,2,3,3,2,1,100,Magic,685,109.0,0,0.0,33.0,4.7,32.0,2.05,5.0,0.5,0.0,0.0,60,3.4,0.736,1.6,175,340,100.0,140.0,43.0749015808105,0.638000011444091,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Zed,3,Assassin,,Energy,Melee,3,1,1,3,1,55,Physical,654,99.0,200,0.0,32.0,4.7,29.0,2.05,7.0,0.65,50.0,0.0,63,3.4,0.651,3.3,125,345,100.0,100.0,35.0,0.651000022888183,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Zeri,2,Marksman,,Mana,Ranged,2,1,2,3,0,35,Physical,600,110.0,250,45.0,24.0,4.2,30.0,1.3,3.25,0.7,6.0,0.8,56,2.0,0.658,2.0,500,330,122.22219848632812,100.0,40.0,0.625,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Ziggs,2,Mage,,Mana,Ranged,3,1,2,2,1,90,Magic,606,106.0,480,23.5,21.0,4.7,30.0,1.3,6.5,0.6,8.0,0.8,55,3.1,0.656,2.0,550,325,110.0,100.0,30.0,0.656000018119812,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Zilean,2,Support,Mage,Mana,Ranged,2,1,2,2,3,100,Magic,574,96.0,452,50.0,24.0,5.0,30.0,1.3,5.5,0.5,11.35,0.8,52,3.0,0.658,2.13,550,335,185.0,135.0,35.0,0.625,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Zoe,3,Mage,Support,Mana,Ranged,3,1,2,2,1,100,Magic,630,106.0,425,25.0,21.0,4.7,30.0,1.3,7.5,0.6,8.0,0.65,58,3.3,0.658,2.5,550,340,145.0,100.0,30.0,0.625,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Zyra,2,Mage,Support,Mana,Ranged,3,1,3,1,1,100,Magic,574,93.0,418,25.0,29.0,4.2,30.0,1.3,5.5,0.5,7.0,0.8,53,3.2,0.681,2.11,575,340,120.0,120.0,35.0,0.625,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
